fundingTime,fundingIntervalHours,fundingRate
1747612800000,8,0.00005990
1747641600006,8,0.00006040
1747670400010,8,0.00002110
1747699200000,8,0.00008378
1747728000002,8,0.00007107
1747756800000,8,0.00001266
1747785600000,8,0.00008767
1747814400001,8,0.00007147
1747843200004,8,0.00005119
1747872000001,8,0.00010000
1747900800000,8,0.00010000
1747929600002,8,0.00010000
1747958400006,8,0.00009321
1747987200000,8,0.00007261
1748016000007,8,0.00008614
1748044800010,8,0.00003524
1748073600000,8,0.00004590
1748102400003,8,0.00007837
1748131200004,8,0.00009794
1748160000000,8,0.00005113
1748188800000,8,0.00003651
1748217600000,8,0.00007331
1748246400000,8,0.00010000
1748275200002,8,0.00009782
1748304000003,8,0.00007650
1748332800001,8,0.00007266
1748361600005,8,0.00002476
1748390400002,8,0.00003260
1748419200003,8,0.00002164
1748448000002,8,0.00005368
1748476800000,8,0.00003186
1748505600006,8,0.00002812
1748534400000,8,0.00008379
1748563200003,8,0.00002622
1748592000003,8,0.00003849
1748620800000,8,0.00007392
1748649600000,8,0.00008506
1748678400000,8,0.00007552
1748707200000,8,0.00004687
1748736000001,8,-0.00000582
1748764800002,8,0.00002335
1748793600000,8,0.00004117
1748822400001,8,-0.00000642
1748851200000,8,0.00005593
1748880000000,8,0.00004467
1748908800000,8,0.00005005
1748937600000,8,0.00006066
1748966400001,8,0.00004456
1748995200000,8,-1.1E-7
1749024000000,8,0.00002611
1749052800000,8,0.00000962
1749081600016,8,7.4E-7
1749110400000,8,0.00002871
1749139200000,8,0.00005156
1749168000002,8,-0.00003491
1749196800000,8,-0.00003030
1749225600006,8,-0.00002995
1749254400000,8,-0.00002890
1749283200000,8,-0.00003158
1749312000002,8,0.00000294
1749340800000,8,0.00004808
1749369600000,8,0.00005613
1749398400000,8,-0.00003602
1749427200000,8,-0.00002164
1749456000001,8,0.00004024
1749484800001,8,0.00003057
1749513600000,8,0.00006374
1749542400001,8,0.00010000
1749571200003,8,0.00008165
1749600000000,8,0.00008779
1749628800000,8,0.00008390
1749657600010,8,0.00005039
1749686400002,8,0.00001856
1749715200003,8,0.00007247
1749744000001,8,0.00001198
1749772800000,8,-0.00001801
1749801600001,8,-0.00000270
1749830400004,8,0.00003857
1749859200000,8,0.00001958
1749888000000,8,0.00003858
1749916800000,8,0.00001135
1749945600005,8,-0.00003641
1749974400009,8,0.00001439
1750003200000,8,0.00007369
1750032000000,8,0.00000936
1750060800000,8,0.00005070
1750089600003,8,0.00002793
1750118400000,8,0.00001847
1750147200006,8,0.00005776
1750176000001,8,0.00002211
1750204800001,8,-0.00001752
1750233600001,8,0.00003695
1750262400001,8,0.00006692
1750291200005,8,0.00000845
1750320000003,8,0.00000616
1750348800000,8,0.00002396
1750377600000,8,0.00003565
1750406400002,8,0.00007862
1750435200001,8,0.00002400
1750464000002,8,0.00003977
1750492800005,8,0.00001933
1750521600000,8,0.00007440
1750550400005,8,0.00002883
1750579200000,8,0.00010000
1750608000003,8,0.00004145
1750636800000,8,-0.00001061
1750665600004,8,-0.00002809
1750694400013,8,0.00004889
1750723200003,8,0.00001245
1750752000000,8,0.00001218
1750780800000,8,0.00000447
1750809600005,8,-0.00003174
1750838400000,8,0.00002747
1750867200005,8,0.00000962
1750896000000,8,0.00000141
1750924800006,8,0.00003805
1750953600007,8,0.00000682
1750982400000,8,0.00001113
1751011200000,8,0.00002663
1751040000009,8,0.00002557
1751068800001,8,-0.00001161
1751097600002,8,0.00006053
1751126400000,8,0.00004434
1751155200004,8,0.00001250
1751184000001,8,0.00005360
1751212800001,8,0.00010000
1751241600000,8,0.00001084
1751270400005,8,0.00002959
1751299200002,8,0.00004923
1751328000007,8,0.00001053
1751356800002,8,0.00004334
1751385600000,8,0.00001109
1751414400001,8,0.00001807
1751443200000,8,0.00003403
1751472000003,8,0.00004130
1751500800006,8,0.00004871
1751529600003,8,0.00003562
1751558400003,8,0.00005028
1751587200005,8,0.00005230
1751616000003,8,0.00005009
1751644800001,8,0.00001797
1751673600004,8,0.00001066
1751702400009,8,0.00003055
1751731200006,8,0.00004005
1751760000001,8,0.00001941
1751788800002,8,0.00001665
1751817600004,8,0.00001028
1751846400000,8,0.00002360
1751875200007,8,0.00003438
1751904000000,8,0.00004271
1751932800010,8,0.00001073
1751961600003,8,0.00004563
1751990400000,8,0.00003601
1752019200002,8,0.00003093
1752048000006,8,0.00003396
1752076800001,8,0.00004253
1752105600003,8,0.00010000
1752134400000,8,0.00008523
1752163200004,8,0.00001908
1752192000004,8,0.00010000
1752220800007,8,0.00010000
1752249600001,8,0.00010000
1752278400000,8,0.00010000
1752307200001,8,0.00010000
1752336000002,8,0.00010000
1752364800006,8,0.00010000
1752393600001,8,0.00010000
1752422400003,8,0.00010000
1752451200000,8,0.00008051
1752480000000,8,0.00010000
1752508800000,8,0.00010000
1752537600002,8,0.00010000
1752566400000,8,0.00010000
1752595200000,8,0.00010000
1752624000000,8,0.00010000
1752652800000,8,0.00010000
1752681600008,8,0.00010000
1752710400003,8,0.00010000
1752739200000,8,0.00010000
1752768000000,8,0.00010000
1752796800004,8,0.00010000
1752825600000,8,0.00010000
1752854400000,8,0.00010000
1752883200009,8,0.00010000
1752912000000,8,0.00010000
1752940800002,8,0.00010000
1752969600000,8,0.00010000
1752998400000,8,0.00010000
1753027200000,8,0.00010000
1753056000001,8,0.00010000
1753084800000,8,0.00010000
1753113600001,8,0.00010000
1753142400000,8,0.00010000
1753171200010,8,0.00010000
1753200000007,8,0.00010000
1753228800000,8,0.00010000
1753257600004,8,0.00010000
1753286400002,8,0.00010000
1753315200000,8,0.00010000
1753344000001,8,0.00010000
1753372800000,8,0.00010000
1753401600000,8,0.00010000
1753430400000,8,0.00010000
1753459200000,8,0.00010000
1753488000001,8,0.00010000
1753516800005,8,0.00010000
1753545600001,8,0.00010000
1753574400001,8,0.00010000
1753603200000,8,0.00010000
1753632000008,8,0.00010000
1753660800005,8,0.00010000
1753689600000,8,0.00010000
1753718400000,8,0.00010000
1753747200001,8,0.00010000
1753776000000,8,0.00010000
1753804800000,8,0.00010000
1753833600011,8,0.00010000
1753862400000,8,0.00010000
1753891200008,8,0.00010000
1753920000000,8,0.00005694
1753948800009,8,0.00010000
1753977600000,8,0.00010000
1754006400001,8,-0.00001408
1754035200003,8,0.00001549
1754064000000,8,0.00005681
1754092800004,8,0.00004810
1754121600000,8,0.00000894
1754150400000,8,0.00004437
1754179200000,8,0.00005633
1754208000000,8,0.00004533
1754236800003,8,0.00007504
1754265600004,8,0.00004188
1754294400000,8,0.00005719
1754323200002,8,0.00003912
1754352000000,8,0.00007101
1754380800000,8,0.00008589
1754409600000,8,0.00004784
1754438400005,8,0.00005172
1754467200000,8,0.00009275
1754496000000,8,0.00008288
1754524800003,8,0.00004843
1754553600002,8,0.00007574
1754582400002,8,0.00006275
1754611200002,8,0.00002403
1754640000004,8,0.00001729
1754668800000,8,0.00007973
1754697600005,8,0.00008835
1754726400000,8,0.00009087
1754755200007,8,0.00005151
1754784000003,8,0.00009849
1754812800005,8,0.00010000
